0_yr_mean_ai,1_yr_mean_ai,2_yr_mean_ai,3_yr_mean_ai,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
0.5551406145095825,0.5177838206291199,0.8293436169624329,0.6180933713912964,0,712,Anchor chain; Seeding (primary),2008,N,601,WRI,"3264, 3265, 3266"
1.0946438312530518,0.9480324387550354,1.3493192195892334,1.3803598880767822,1,716,Herbicide application; Seeding (primary); Anchor chain; Vegetation removal / hand crew,2007,N,602,WRI,"3288, 3289, 3290, 3291, 3292, 3293"
1.1556517930343897,0.9166902499367492,2.0149843289394576,1.9422722127702503,2,727,Bullhog; Vegetation removal / hand crew; Prescribed fire,2007,N,603,WRI,3296
0.6493156907186342,0.5670675803298896,1.2923969891719047,0.8595085962314826,3,729,Prescribed fire; Disc; Seeding (primary),2008,N,604,WRI,"3374, 3583, 3738"
0.5743346810340881,0.5782018899917603,0.617031991481781,0.4073527157306671,4,730,Harrow; Seeding (primary),2007,N,605,WRI,3285
0.5127521761866848,0.48190775620595117,0.8575058221531826,0.6014184088370447,5,731,Vegetation removal / hand crew,2008,N,606,WRI,3162
0.6532528938481169,0.5682891542555518,1.2921221048583809,0.8626425185354585,6,732,Herbicide application; Disc,2008,N,607,WRI,"3376, 3740"
0.38206589221954346,0.3527887165546417,0.5693506598472595,0.366877019405365,7,757,Harrow; Seeding (primary),2007,N,608,WRI,3302
0.5680849552154541,0.5466674566268921,0.9346750378608704,0.4679447114467621,8,761,Prescribed fire,2012,N,609,WRI,4130
0.45668579299910733,0.4709739748026285,0.6671283592124517,0.4007211303224369,9,767,Harrow; Vegetation removal / hand crew; Seeding (primary); Bullhog,2008,N,610,WRI,"3312, 3488"
0.45385703444480896,0.21378093957901,0.7181330919265747,0.38092803955078125,10,771,Harrow; Herbicide application; Seeding (primary),2008,N,611,WRI,3305
0.484330870994697,0.4911904267023804,0.7144510386886866,0.5879657989942242,11,777,Bullhog,2011,N,612,WRI,3923
1.934748089325275,2.025248540353916,3.5447676367726753,2.4351497468449406,12,794,Harrow; Prescribed fire,2009,N,613,WRI,"3471, 3844"
0.7028376460075378,0.44036370515823364,0.9066080451011658,0.716133713722229,13,797,Harrow; Seeding (primary),2007,N,614,WRI,3304
0.7711723773137017,0.6568733858383767,1.041169260171694,0.831571822809333,14,802,Planting/Transplanting; Seeding (secondary/shrub),2008,Y,615,WRI,3308
0.3505419498903543,0.270473668388797,0.5779521663125055,0.34074875060710397,15,823,Vegetation removal / hand crew; Seeding (primary); Bullhog,2008,N,616,WRI,"3278, 3279, 3280"
0.5335857321818669,0.46721526185671486,0.8636771003405251,0.4495278686285019,16,834,Greenstripping; Seeding (primary),2007,N,617,WRI,3337
0.5017777947279123,0.2556702031539037,0.831044837144705,0.4055689541193156,17,836,Greenstripping,2007,N,618,WRI,3699
1.1493606251187443,1.0401536971330645,1.5097555212858242,1.3203621226839903,18,840,Vegetation removal / hand crew,2010,N,619,WRI,3836
1.2374081425861907,0.7603905959823644,1.3547749852158677,1.1827410225690347,19,841,Prescribed fire,2007,N,620,WRI,3498
1.0143464281008794,1.1268518695464502,1.4760464888352613,1.4278543215531567,20,851,Forestry practices,2005,N,621,WRI,3148
1.1065037563756421,1.0842373634243871,1.844018416719752,1.4214363602904592,21,853,Herbicide application,2008,N,622,WRI,3268
0.3776666863260427,0.21357541307472874,0.3929753710692596,0.32951845778834493,22,857,Vegetation removal / hand crew,2008,N,623,WRI,3272
0.4829819710815655,0.3865464224534876,0.776040420812719,0.5934930443763733,23,870,Disc; Herbicide application; Mowing,2008,N,624,WRI,3739
0.47080356527849593,0.37816664791598753,0.7533037330686432,0.5718257359622679,24,870,Seeding (primary); Herbicide application,2008,Y,625,WRI,"3375, 3584"
0.47605959916408846,0.3167963665962709,0.6979217518270322,0.3637318488015177,25,871,Seeding (primary),2007,N,626,WRI,3549
0.6643573420388357,0.46766712580408365,0.8016166789191109,0.8221868004117693,26,881,Prescribed fire; Seeding (primary),2009,Y,627,WRI,3225
0.35050420192785037,0.27330751335898107,0.5477697333624196,0.3254378716612971,27,883,Bullhog; Seeding (primary),2008,N,628,WRI,3281
0.6054723262786865,0.37706929445266724,0.9574922919273376,0.4324907660484314,28,885,Seeding (primary),2007,Y,629,WRI,3813
0.625811755657196,0.3647243082523346,1.0484429597854614,0.4344819188117981,29,886,Seeding (primary),2007,Y,630,WRI,3700
0.4003750681877136,0.3647298514842987,0.5649401545524597,0.39989766478538513,30,887,Seeding (primary),2007,Y,631,WRI,3550
0.5323556693651341,0.45001230300754624,0.8075752441601086,0.5872867265696166,31,888,Seeding (primary),2007,Y,632,WRI,3338
1.0272575570541678,0.9054837898143286,1.0102508178035032,0.7342567507503102,32,889,Seeding (primary),2007,N,633,WRI,3426
0.9207680821418762,0.4387151300907135,1.3406915664672852,0.5848981142044067,33,890,Seeding (primary),2007,Y,634,WRI,3701
0.6473401272458728,0.3764746840453255,1.0723237187614267,0.4422872529040634,34,891,Seeding (primary),2007,N,635,WRI,3551
0.6564826271321513,0.5538859204490586,0.8497572001844348,0.6437011017657741,35,895,Bullhog; Seeding (secondary/shrub),2008,N,636,WRI,3277
0.4563709400138076,0.38517128083170676,0.6145007950919015,0.6064048774388372,36,898,Seeding (primary),2007,N,637,WRI,3599
1.3815573207530447,0.8608250352239278,1.6715711947123761,0.7410709523245615,37,900,Bullhog,2009,N,638,WRI,3306
0.714627013598576,0.6824218937509572,1.427046616450545,0.6138586677037752,38,905,Harrow; Vegetation removal / hand crew; Seeding (primary),2008,N,639,WRI,3311
0.7209250926971436,0.7126981616020203,1.1258268356323242,0.561519980430603,39,906,Bullhog; Harrow; Prescribed fire; Seeding (primary); Vegetation removal / hand crew,2007,N,640,WRI,"3626, 3795"
0.5290956497192383,0.5741239190101624,0.6768434643745422,0.4077293872833252,40,907,Bullhog; Harrow; Vegetation removal / hand crew; Prescribed fire; Seeding (primary),2007,N,641,WRI,3310
0.551084041595459,0.37739214301109314,0.6563693881034851,0.6014285087585449,41,908,Planting/Transplanting,2008,N,642,WRI,1807
0.5011541843414307,0.21490170061588287,0.3797674775123596,0.3108643889427185,42,912,Disc; Seeding (primary),2008,N,643,WRI,3377
0.8249145746231079,0.6689621806144714,0.9578430652618408,0.7899342179298401,43,918,Anchor chain; Seeding (primary),2008,N,644,WRI,3276
0.4759634921102079,0.3881461422194491,0.6117704150440929,0.6266314650138656,44,919,Seeding (primary),2007,N,645,WRI,3395
0.4370195285550186,0.2297802669927478,0.7908369824290277,0.3656082395464182,45,925,Greenstripping,2007,N,646,WRI,3762
0.6901571154594421,0.4676256477832794,1.0973117351531982,0.5650435090065002,46,932,Seeding (primary),2007,N,647,WRI,3702
0.85264924628134,0.8308751159951887,1.3647766639258117,1.036842194404311,47,941,Seeding (primary),2007,N,648,WRI,3396
0.3518931269645691,0.20427274703979492,0.3861410915851593,0.32419008016586304,48,955,Seeding (primary); Anchor chain; Bullhog,2007,N,649,WRI,"3442, 3443, 3812"
0.4825642478645297,0.336372358906538,0.6313829233771876,0.5064341719437363,49,967,Seeding (primary),2008,N,650,WRI,3781
1.501628626795376,1.5945642467807322,2.6744231511564815,1.977237177245757,50,972,Herbicide application; Planting/Transplanting; Seeding (primary),2007,N,651,WRI,3664
0.85264924628134,0.8308751159951887,1.3647766639258117,1.036842194404311,51,973,Herbicide application,2007,N,652,WRI,3492
1.5845079526756751,1.565188862338211,2.5628505092678653,1.9290970289345948,52,976,Planting/Transplanting,2008,N,653,WRI,"3939, 3940, 4097, 4280"
0.6244663596153259,0.5193745493888855,1.0221449136734009,0.7112109661102295,53,978,Seeding (primary); Herbicide application,2008,N,654,WRI,"3318, 3518, 3666"
0.739485322395501,0.590450229155535,1.354167668805646,0.886561100193531,54,979,Anchor chain; Seeding (primary),2007,N,655,WRI,3669
0.5709796303357833,0.312964426401334,0.47585963362302536,0.42143972561909604,55,980,Harrow; Seeding (primary),2007,N,656,WRI,3309
0.34668299555778503,0.2256622016429901,0.5329556465148926,0.2834620773792267,56,983,Harrow; Seeding (primary),2007,Y,657,WRI,3636
1.1061849297991224,0.6287665534171328,1.5260759341488979,0.6484544751750436,57,985,Bulldozing; Seeding (primary),2007,N,658,WRI,3525
1.7963086253120784,1.208802314031692,1.9888452688852947,1.1244985432851882,58,990,Seeding (primary),2007,N,659,WRI,3674
0.5594694574673971,0.4169567616212935,0.573573694910322,0.4076759818054382,59,991,Seeding (primary),2007,N,660,WRI,3526
0.8531884984536606,0.5998904885667744,0.9302325266780276,0.9649621374679336,60,999,Harrow; Seeding (primary),2007,Y,661,WRI,3521
